week,visit,home,line,overUnder,vScore,hScore,moneyVisit,moneyHome,vConf,hConf,inConf,dayNo,vDoff,hDoff
1,BUF,LAR,2.5,51.5,31,10,-130,110,AE,NW,0,251,15,15
1,NO,ATL,5.5,42.5,27,26,-250,190,NS,NS,1,255,15,15
1,CLE,CAR,-1.5,41.5,26,24,110,-140,AN,NS,0,254,15,15
1,SF,CHI,7,38,10,19,-300,220,NW,NN,0,254,15,15
1,PIT,CIN,-6.5,44.5,23,20,240,-330,AN,AN,1,254,15,15
1,PHL,DET,5.5,48.5,38,35,-250,190,NE,NN,0,254,15,15
1,IND,HOU,8,46,20,20,-400,280,AS,AS,1,254,15,15
1,NE,MIA,-3.5,48.5,7,20,125,-160,AE,AE,1,254,15,15
1,BAL,NYJ,7,44.5,24,9,-300,230,AN,AE,0,254,15,15
1,JAX,WAS,-3.5,43.5,28,22,120,-105,AS,NE,0,254,15,15
1,KC,ARZ,6.5,53.5,44,21,-280,205,AW,NW,0,254,15,15
1,LV,LAC,-3.5,52.5,19,24,140,-180,AW,AW,1,254,15,15
1,GB,MIN,-1.5,48.5,7,23,-140,110,NN,NN,1,254,15,15
1,NYG,TEN,-6,44,21,20,205,-280,NE,AS,0,254,15,15
1,TB,DAL,2.5,50.5,19,3,110,-140,NS,NE,0,254,15,15
1,DEN,SEA,-6,44,16,17,-250,200,AW,NW,0,254,15,15
2,LAC,KC,-3.5,53.5,24,27,160,-210,AW,AW,1,258,4,4
2,MIA,BAL,-3.5,42,38,38,140,-180,AE,AN,0,261,7,7
2,NYJ,CLE,-6.5,40.5,31,30,210,-280,AE,AN,0,261,7,7
2,IND,JAX,4.5,46.5,1,24,-210,160,AE,AS,0,261,7,7
2,CAR,NYG,-2.5,42.5,16,19,105,-125,AN,NS,0,261,7,7
2,TB,NO,2.5,44,20,10,-170,130,NS,NS,1,261,7,7
2,NE,PIT,1.5,40.5,17,14,-120,-105,AE,AN,0,261,7,7
2,WAS,DET,-2.5,49,27,39,110,-140,NE,NN,0,261,7,7
2,ATL,LAR,-10.5,47.5,27,31,375,-560,NS,NW,0,261,9,10
2,SEA,SF,-8.5,43,7,27,280,-400,NW,NW,1,261,7,7
2,CIN,DAL,6.5,43,17,20,-300,225,AN,NE,0,261,7,7
2,HOU,DEN,-10.5,43.5,9,16,330,-500,AS,AW,0,261,7,7
2,ARZ,LV,-5.5,51.5,29,23,205,-280,NW,AW,0,261,7,7
2,CHI,GB,-9,43,10,27,300,-500,NN,NN,1,261,7,7
2,TEN,BUF,-9.5,49.5,7,41,330,-500,AS,AE,0,262,8,11
2,MIN,PHL,-1.5,51.5,7,24,100,-125,NN,NE,0,262,8,8
3,PIT,CLE,-5,38.5,17,29,180,-225,AN,AN,1,265,4,4
3,NO,CAR,3,40.5,14,22,-160,130,NS,NS,1,268,7,7
3,HOU,CHI,-2.5,40.5,20,23,120,-145,AS,NN,0,268,7,7
